name,id
Content affinity test,557542
dummy_master_segment_for_U101_workflow_20240225,555599
Asia - Livestock,547554
Asia - Healthcare,547553
Connect-Food and Restaurant,536969
Asia - Super Terminal Expo,517860
Engage-Connect-WM,498422
Unified Segment for Informa Tech,478227
Streamly,473490
Asia - CPHI Korea,469180
Asia - RACE,464141
Asia - B4A,464140
Informa Uber - Engage,454421
Asia - Fashion,351436
Asia - CPHI Asia,349216
Asia - Vitafoods,349215
Asia - Data Exchange,345470
Service Provider,343440
Asia - IECIE,335270
Asia - Beauty,333580
CDP Billing - Asia,332053
Asia - Jewellery,327099
Asia - Food Ingredients,320369
Asia - ProPak,320289
Asia - Oil & Gas,320288
Asia - Water,319904
Asia - Furniture,316797
Asia - India,316796
Engage,312797
Asia - Beauty - Cosmoprof CBE ASEAN,310825
Fashion,303760
Informa Markets Engineering,301429
Unified Segment for Informa,299246
Asia - Data Catalog,296146
Infrastructure and Construction,296145
Unified Segment for Industry Dive,292549
Asia - Beauty - Cosmoprof Asia,290395
"Unified Segment for Aviation, Ag and I&C",290394
Agriculture,287569
Media & Entertainment,287568
Asia - Hospitality Food & Beverage,286954
CDP Billing,284669
Connect - North America,279492
Enterprise IT,277340
Applied Intelligence,277339
Food EMEA,266412
Pharma,259861
Healthcare,259860
Health & Nutrition,259859
Aviation,252122
Cyber - Dark Reading,241312
Qualifi,237332
Licensing,237331
